tokyosento	id	open	name	address	access	closed-days	laundry	office-hours	visited
item-cnt-269.html	葛飾 14	1	美吉湯	葛飾区東堀切二丁目 22-13	京成線「お花茶屋」駅下車、徒歩5分	火曜	0	15:30-22:00	0
item-cnt-273.html	葛飾 15	1	第四富士の湯	葛飾区宝町二丁目 11-8	京成線「お花茶屋」駅下車、徒歩7分	金曜	1	15:30-22:00	0
item-cnt-247.html	葛飾 17	1	末広湯	葛飾区宝町一丁目 2-30	京成線「お花茶屋」駅下車、徒歩10分	火曜	0	16:00-23:00	0
item-cnt-237.html	葛飾 20	1	竹の湯	葛飾区四つ木一丁目 16-10	京成押上線「四ツ木」駅下車、徒歩3分	水曜	1	15:30-24:00	0
item-cnt-242.html	葛飾 21	1	富の湯	葛飾区立石二丁目 19-6	京成押上線「京成立石」駅下車、徒歩10分	月曜	0	14:30-22:30	0
item-cnt-245.html	葛飾 23	1	アクアドルフィンランド	葛飾区立石七丁目 16-3	京成押上線「京成立石」駅下車、徒歩4分	木曜/祝日は営業	1	15:00-24:00	1
item-cnt-244.html	葛飾 24	1	成弘湯	葛飾区立石六丁目 32-19	京成線「青砥」駅下車、徒歩7分	金曜	1	15:00-23:30	1
item-cnt-261.html	葛飾 26	1	日の出湯	葛飾区西亀有四丁目 16-14	常磐線「亀有」駅下車、徒歩8分	水曜	1	15:50-男湯22:30、女湯22:00/サウナは20:00まで	0
item-cnt-260.html	葛飾 28	1	第一日立湯	葛飾区亀有五丁目 48-12	常磐線「亀有」駅下車、徒歩5分	月曜/祝日は営業	0	16:00-22:15	0
item-cnt-259.html	葛飾 29	1	ゆートピア２１	葛飾区亀有三丁目 30-12	常磐線「亀有」駅下車、南口より徒歩2分	土曜	1	16:00-24:30	0
item-cnt-258.html	葛飾 30	1	富士の湯	葛飾区亀有二丁目 5-7	常磐線「亀有」駅下車、徒歩12分	木曜	1	15:30-23:00	0
item-cnt-256.html	葛飾 32	1	金町湯	葛飾区金町五丁目 14-9	常磐線「金町」駅下車、南口より徒歩7分	木曜、第4金曜	0	15:30-22:30	0
item-cnt-257.html	葛飾 36	1	栄湯	葛飾区高砂八丁目 15-12	京成線「京成高砂」駅下車、徒歩8分	月曜、第 2, 4 火曜	1	16:00-22:00	0
item-cnt-251.html	葛飾 38	1	興和浴場	葛飾区鎌倉四丁目 17-14	北総・公団線「新柴又」駅下車、徒歩3分	木曜	0	15:20-23:30	0
item-cnt-241.html	葛飾 39	1	寿湯	葛飾区東四つ木四丁目 19-14	京成押上線「四ツ木」駅下車、徒歩5分	金曜	1	15:10-24:00	1
item-cnt-240.html	葛飾 40	1	アクアガーデン栄湯	葛飾区東四つ木三丁目 45-7	京成押上線「四ツ木」駅下車、徒歩8分	月曜、火曜	1	16:00-22:00	1
item-cnt-246.html	葛飾 43	1	喜久の湯	葛飾区東立石二丁目 21-16	京成押上線「京成立石」駅下車、徒歩8分	金曜	1	15:00-22:30	1
item-cnt-255.html	葛飾 45	0	大黒湯	葛飾区西新小岩四丁目 14-5	総武線「新小岩」駅下車、徒歩10分	月曜	1	16:00-22:00	0
item-cnt-253.html	葛飾 46	1	湯パーク松島	葛飾区新小岩三丁目 8-14	総武線「新小岩」駅下車、徒歩8分	木曜	1	15:30-23:45	0
item-cnt-254.html	葛飾 50	1	千代の湯	葛飾区東新小岩五丁目 17-6	総武線「新小岩」駅下車、徒歩8分	月曜/祝日の場合は翌日休	1	15:10-22:00	0
item-cnt-280.html	江戸川 1	1	金泉湯	江戸川区平井七丁目 17-36	総武線「平井」駅下車、徒歩13分	月曜/祝日は翌日休み	1	15:00-22:30	0
item-cnt-279.html	江戸川 3	1	中の湯	江戸川区平井六丁目 42-11	総武線「平井」駅下車、徒歩7分	金曜	1	15:00-24:00	0
item-cnt-278.html	江戸川 4	1	吉野湯	江戸川区平井四丁目 23-2	総武線「平井」駅下車、徒歩5分	月曜	1	15:00-24:00/24時までに退出してください	1
item-cnt-277.html	江戸川 5	1	千代の湯	江戸川区平井四丁目 19-7	総武線「平井」駅下車、徒歩8分	土曜	1	15:00-25:00	0
item-cnt-276.html	江戸川 6	1	旭湯	江戸川区平井二丁目 18-12	総武線「平井」駅下車、徒歩7分	金曜	0	15:00-24:00	0
item-cnt-275.html	江戸川 7	1	辰巳湯	江戸川区平井一丁目 14-1	総武線「平井」駅よりバス。「小松川三丁目」下車、徒歩3分	水曜	1	15:00-23:30	0
item-cnt-295.html	江戸川 9	1	一心湯	江戸川区松島四丁目 9-8	総武線「新小岩」駅下車、徒歩4分	月曜	1	15:30-22:30	0
item-cnt-294.html	江戸川 10	1	旭湯	江戸川区松島四丁目 28-11	総武線「新小岩」駅下車、徒歩7分	水曜	0	15:30-23:00	0
item-cnt-298.html	江戸川 14	1	菅原湯	江戸川区中央四丁目 19-24	総武線「新小岩」駅下車、徒歩20分	月曜	0	15:30-22:00	0
item-cnt-300.html	江戸川 15	1	あづま浴泉	江戸川区中央二丁目 34-2	総武線「新小岩」駅よりバス。「ＮＴＴ江戸川」下車、徒歩3分	水曜	0	14:00-21:00	0
item-cnt-297.html	江戸川 16	1	仁岸湯	江戸川区中央二丁目 7-2	総武線「新小岩」駅よりバス。「江戸川区役所前」下車、徒歩5分	火曜	1	14:30-23:00	1
item-cnt-291.html	江戸川 18	1	小松湯	江戸川区西小松川町 27-15	総武線「新小岩」駅よりバス。「東小松川一丁目」下車、徒歩5分	水曜	1	15:00-21:00	0
item-cnt-296.html	江戸川 23	1	日の出湯	江戸川区松江七丁目 11-18	総武線「新小岩」駅、または都営新宿線「一之江」駅よりバス。「西一之江４丁目」下車、徒歩1分	月曜	0	15:15-21:30	0
item-cnt-316.html	江戸川 25	1	鶴の湯	江戸川区北小岩七丁目 4-16	京成線「京成小岩」駅下車、徒歩5分	水曜	1	15:00-23:45	0
item-cnt-315.html	江戸川 26	1	地蔵湯	江戸川区北小岩二丁目 12-11	京成線「京成小岩」駅下車、徒歩1分	土曜	1	15:30-22:30	0
item-cnt-314.html	江戸川 28	1	吉野湯	江戸川区西小岩三丁目 36-20	総武線「小岩」駅下車、徒歩7分	土曜	1	15:00-23:30	0
item-cnt-313.html	江戸川 30	1	武蔵湯	江戸川区西小岩一丁目 6-16	総武線「小岩」駅下車、徒歩5分	月曜/祝日は翌日休	1	14:00-24:00	0
item-cnt-306.html	江戸川 31	1	大黒湯	江戸川区南小岩六丁目 29-15	総武線「小岩」駅下車、徒歩6分	日曜	1	16:30-24:00	0
item-cnt-305.html	江戸川 33	1	照の湯	江戸川区南小岩六丁目 26-19	総武線「小岩」駅下車、徒歩8分	第 2, 4 土曜	1	15:00-24:00	0
item-cnt-304.html	江戸川 35	1	島田浴場	江戸川区南小岩四丁目 6-5	総武線「小岩」駅下車、徒歩20分	土曜	1	15:00-23:00	0
item-cnt-303.html	江戸川 36	1	友の湯	江戸川区東小岩五丁目 1-3	総武線「小岩」駅下車、徒歩10分	火曜/祝日は営業	1	13:30-25:00	0
item-cnt-302.html	江戸川 37	1	亀の湯	江戸川区東小岩四丁目 33-16	総武線「小岩」駅下車、徒歩11分	木曜、第 1, 3 水曜	1	15:00-22:30	0
item-cnt-301.html	江戸川 38	1	みどり湯	江戸川区東小岩一丁目 17-18	総武線「小岩」駅よりバス。「東小岩１丁目」下車、徒歩3分	月曜/祝日は営業	1	15:00-23:00	0
item-cnt-309.html	江戸川 42	1	イーストランド	江戸川区西篠崎二丁目 23-1	都営新宿線「篠崎」駅下車、徒歩15分	月曜/祝日の場合は翌日休	1	14:30-23:00	0
item-cnt-311.html	江戸川 43	1	庄楽の湯	江戸川区上篠崎二丁目 12-16	都営新宿線「篠崎」駅下車、徒歩8分	木曜、第 3 水曜	0	14:30-22:30	0
item-cnt-290.html	江戸川 45	1	竹の湯	江戸川区篠崎町四丁目 21-15	都営新宿線「篠崎」駅下車、徒歩15分	月曜/振替休日は営業	0	16:00-23:00	0
item-cnt-289.html	江戸川 51	1	第二寿湯	江戸川区江戸川一丁目 46-12	都営新宿線「瑞江」駅下車、徒歩15分	木曜、金曜	0	16:00-23:00	0
item-cnt-281.html	江戸川 54	1	鶴の湯	江戸川区船堀二丁目 11-16	都営新宿線「船堀」駅下車、徒歩5分	水曜	1	15:30-24:00	1
item-cnt-282.html	江戸川 55	1	あけぼの湯	江戸川区船堀三丁目 12-11	都営新宿線「船堀」駅下車、徒歩5分	木曜、第 3 金曜	1	15:30-23:50/日・祝日は14:00-24:00	1
item-cnt-283.html	江戸川 56	1	乙女湯	江戸川区船堀七丁目 3-13	都営新宿線「船堀」駅下車、徒歩7分	月曜/祝日は翌日休	1	15:00-24:00/日・祝日は14:30-23:30	0
item-cnt-284.html	江戸川 57	1	宝来湯	江戸川区江戸川六丁目 12-16	東京メトロ東西線「葛西」駅よりバス。「古川親水公園」下車、徒歩1分	日曜	0	15:30-22:00	0
item-cnt-286.html	江戸川 58	1	小島湯	江戸川区西葛西一丁目 7-3	東京メトロ東西線「西葛西」駅よりバス。「小島」下車、徒歩1分	不定休	1	15:30-22:00	0
item-cnt-285.html	江戸川 60	1	仲の湯	江戸川区東葛西七丁目 3-5	東京メトロ東西線「葛西」駅下車、徒歩5分	木曜	0	15:20-22:00	0
