path	area	name	address	visited
09-shinagawa/00-shinagawa	品川区	品川図書館	品川区北品川二丁目 32-3	1
09-shinagawa/01-futaba	品川区	二葉図書館	品川区二葉一丁目 4-25	1
09-shinagawa/02-ebara	品川区	荏原図書館	品川区中延一丁目 9-15	1
09-shinagawa/03-minamioi	品川区	南大井図書館	品川区南大井三丁目 7-13	1
09-shinagawa/04-genjimae	品川区	源氏前図書館	品川区中延四丁目 14-17	1
09-shinagawa/05-yutaka	品川区	ゆたか図書館	品川区豊町一丁目 17-7	1
09-shinagawa/06-oi	品川区	大井図書館	品川区大井五丁目 19-14	1
09-shinagawa/07-gotanda	品川区	五反田図書館	品川区西五反田六丁目 5-1	1
09-shinagawa/08-osaki	品川区	大崎図書館	品川区北品川五丁目 2-1 2 階	1
09-shinagawa/09-yashio	品川区	八潮図書館	品川区八潮五丁目 10-27	1
09-shinagawa/10-oimachi	品川区	大井町サービスコーナー	品川区大井一丁目 2-1 大井町駅ビル「アトレ」中央西口階段下	-1
09-shinagawa/11-musashikoyama	品川区	武蔵小山サービスコーナー	品川区小山三丁目 27-5	-1
09-shinagawa/12-osaki-station	品川区	大崎駅西口図書取次施設	品川区大崎二丁目 11-1 大崎ウィズシティテラス 2 階	-1
09-shinagawa/13-meguro	品川区	目黒サービスコーナー	品川区上大崎三丁目 1-1 目黒セントラルスクエア 1 階	-1
09-shinagawa/14-osaki-annex	品川区	大崎図書館分館	品川区大崎三丁目 12-22	1
10-meguro/00-yakumochuo	目黒区	八雲中央図書館	目黒区八雲一丁目 1-1	1
10-meguro/01-ohashi	目黒区	大橋図書館	目黒区大橋一丁目 5-1 クロスエアタワー 9 階	1
10-meguro/02-nakameguroekimae	目黒区	中目黒駅前図書館	目黒区上目黒二丁目 1-3 中目黒 GT プラザ B1 階	1
10-meguro/03-meguro-center	目黒区	目黒区民センター図書館	目黒区目黒二丁目 4-36	1
10-meguro/04-moriya	目黒区	守屋図書館	目黒区五本木二丁目 20-15	1
10-meguro/05-megurohoncho	目黒区	目黒本町図書館	目黒区目黒本町二丁目 1-20	1
10-meguro/06-senzoku	目黒区	洗足図書館	目黒区洗足二丁目 8-26	1
10-meguro/07-midorigaoka	目黒区	緑が丘図書館	目黒区緑が丘二丁目 14-23	1
11-ota/00-ota	大田区	大田図書館	大田区田園調布南 25-1	1
11-ota/01-omoriminami	大田区	大森南図書館	大田区大森南一丁目 17-7	1
11-ota/02-omorihigashi	大田区	大森東図書館	大田区大森東一丁目 31-3 104	1
11-ota/03-omorinishi	大田区	大森西図書館	大田区大森西五丁目 2-13	1
11-ota/04-iriarai	大田区	入新井図書館	大田区大森北一丁目 10-14 大森複合施設ビル Luz大森	1
11-ota/05-magome	大田区	馬込図書館	大田区中馬込二丁目 26-10	1
11-ota/06-ikegami	大田区	池上図書館	大田区池上三丁目 27-6	1
11-ota/07-kugahara	大田区	久が原図書館	大田区久が原二丁目 28-4	1
11-ota/08-senzokuike	大田区	洗足池図書館	大田区南千束二丁目 2-10	1
11-ota/09-hamatake	大田区	浜竹図書館	大田区西糀谷三丁目 32-7	1
11-ota/10-haneda	大田区	羽田図書館	大田区羽田一丁目 11-1	1
11-ota/11-rokugo	大田区	六郷図書館	大田区南六郷三丁目 10-3	1
11-ota/12-shimomaruko	大田区	下丸子図書館	大田区下丸子二丁目 18-11	1
11-ota/13-tamagawa	大田区	多摩川図書館	大田区多摩川二丁目 24-63	1
11-ota/14-kamata	大田区	蒲田図書館	大田区東蒲田一丁目 19-22	1
11-ota/15-kamataekimae	大田区	蒲田駅前図書館	大田区蒲田五丁目 13-26 301号	1
11-ota/16-omoribunkanomori	大田区	大田文化の森情報館	大田区中央二丁目 10-1	1
12-setagaya/00-central	世田谷区	中央図書館	世田谷区弦巻三丁目 16-8	1
12-setagaya/01-umegaoka	世田谷区	梅丘図書館	世田谷区代田四丁目 38-10	1
12-setagaya/02-setagaya	世田谷区	世田谷図書館	世田谷区若林四丁目 22-13	1
12-setagaya/03-kinuta	世田谷区	砧図書館	世田谷区祖師谷三丁目 10-4	1
12-setagaya/04-okusawa	世田谷区	奥沢図書館	世田谷区奥沢三丁目 47-8	1
