area	areacode	name	address	visited
板橋区	1730014	なか卯 大山店	東京都板橋区大山東町 21-6 高橋ビル	1
板橋区	1750082	なか卯 高島平店	東京都板橋区高島平八丁目 10-5 ソレイユ高島平第二	0
板橋区	1750094	なか卯 成増店	東京都板橋区成増一丁目 31-6 成増クリーンビル 1F	0
練馬区	1760006	なか卯 江古田店	東京都練馬区栄町 2-5 アーバン江古田ビル 1F	0
練馬区	1780063	なか卯 大泉学園店	東京都練馬区東大泉三丁目 19-6 第一豊田ビル	0
葛飾区	1240024	なか卯 新小岩店	東京都葛飾区新小岩一丁目 50-8 アビタシオン TOKYO 1F	0
葛飾区	1250061	なか卯 亀有店	東京都葛飾区亀有三丁目 25-1	1
江戸川区	1320011	なか卯 瑞江駅前店	東京都江戸川区瑞江二丁目 6-16	0
江戸川区	1320035	なか卯 平井南口店	東京都江戸川区平井四丁目 8-13 レジェンド平井	0
江戸川区	1340083	なか卯 葛西店	東京都江戸川区中葛西五丁目 19-17	1
江戸川区	1340085	なか卯 環七南葛西店	東京都江戸川区南葛西三丁目 24-21	0
江戸川区	1340088	なか卯 西葛西駅前店	東京都江戸川区西葛西 6-7 メトロセンター西葛西Ｂ棟二号	1
