name	ku	areacode	address	mfc	beatmania	nostalgia	bomber-girl	mjac	chronoregalia	visited	closed
アミュージアム OSC 店	練馬区	1780063	練馬区東大泉二丁目 34-1 オズスタジオシティ 2F	1	1	0	0	0	0	1	0
キャロム練馬店	練馬区	1790081	練馬区北町一丁目 11-12 渡久ビル 1F	1	1	0	0	0	1	0	1
トーホーレジャープラザ	練馬区	1790082	練馬区錦二丁目 19-1 トーホーレジャープラザ 5F	1	1	1	0	0	0	1	0
カプセルホテル&サウナ銀河	足立区	1200005	足立区綾瀬一丁目 38-15	1	0	0	0	0	0	0	0
タイトーステーション綾瀬店	足立区	1200005	足立区綾瀬四丁目 9-29 ホーキョボナールビル	1	1	1	0	0	0	1	0
ウェアハウス保木間店	足立区	1210064	足立区保木間一丁目 1-19 1F	1	1	0	0	1	0	1	0
セガ竹の塚店	足立区	1210813	足立区竹の塚六丁目 8-6 ピーくん Plaza-B	0	0	1	0	1	1	1	0
ウェアハウス入谷店	足立区	1210834	足立区入谷七丁目 8-11	1	1	0	0	1	0	1	0
ウェアハウス入谷店（ゴルフ）	足立区	1210834	足立区入谷七丁目 8-14	0	0	0	0	1	0	1	0
ハイテクランドキューデン	足立区	1230843	足立区西新井栄町二丁目 7-2 ハイテクランド球殿 2F	1	1	1	1	1	0	1	0
ハイテクランドセガ立石店	葛飾区	1240012	葛飾区立石七丁目 2-1	0	0	1	0	1	1	1	0
アドアーズ新小岩店	葛飾区	1240024	葛飾区新小岩一丁目 44-4	1	1	0	0	0	0	1	0
ラくトス	葛飾区	1240024	葛飾区新小岩一丁目 44-6	1	1	1	0	0	0	1	0
アミューズメントパークアトム	葛飾区	1250041	葛飾区東金町一丁目 44-1	1	1	0	0	0	0	0	1
東京レジャーランド亀有店	葛飾区	1250061	葛飾区亀有三丁目 21-2	1	1	0	1	1	0	1	0
江戸川ヤングボウル	江戸川区	1320021	江戸川区中央四丁目 22-25	1	0	0	0	0	0	0	0
アムネット小岩店	江戸川区	1330056	江戸川区南小岩六丁目 31-3 石井ビル 1F	1	1	0	0	1	0	1	0
ドットコム葛西	江戸川区	1340083	江戸川区中葛西三丁目 35-5	1	1	1	1	1	0	1	0
タイトー F ステーション西葛西店	江戸川区	1340088	江戸川区西葛西六丁目 6-10	1	1	1	0	1	1	1	0
キャッツアイ西葛西店	江戸川区	1340088	江戸川区西葛西四丁目 2-28 サニーモール西葛西ビル 3F	1	1	0	0	0	0	1	0
セガワールド船堀店	江戸川区	1340091	江戸川区船堀一丁目 6-11	0	1	1	0	1	0	1	0
